書名,著者名,発売日,カテゴリー名,画像URL
最強の高配当投資,"
上岡正明(著者)
", 2023年12月24日（日）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2023/09/9784815623395-2-420x596.jpg
プロ投資家の先を読む思考法,"
渡部清二(著者)
", 2023年12月7日（木）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2023/09/9784815622381-1-386x596.jpg
PayPayではじまる最高に便利でおトクな生活［PayPay公式ガイドブック］,"
坂井きょうこ（スマっ子）(著者)
", 2023年9月29日（金）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2023/07/9784815619985-2-416x596.jpg
マンガでわかる　まずはアパート一棟、買いなさい！,"
石原博光(著者)
", 2023年9月1日（金）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2023/06/9784815622480-2-408x596.jpg
【2024年新制度対応版】NISA＆iDeCo完全ガイド,"
篠田尚子(著者)
", 2023年4月27日（木）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2023/03/9784815619497-407x596.jpg
アメリカの高校生が学んでいる投資の教科書,"
ティモシー・オルセン(著者)
桜田直美(訳)
", 2023年2月8日（水）,ビジネス/自己啓発・投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2022/11/9784815616038-1-406x596.jpg
ほったらかし投資FIRE,"
ゆうパパ(著者)
", 2023年2月2日（木）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2022/11/9784815618162-2-405x596.jpg
会社四季報の達人が全力で選んだ 10倍・100倍になる！　超優良株ベスト30,"
渡部清二(著者)
", 2022年12月6日（火）,政治/社会・投資・資産運用・SB新書,https://www.sbcr.jp/wp-content/uploads/2022/09/9784815617721-2-382x596.jpg
東大卒億り人が考案したロジカル株式投資　市場平均を超えるリターンを手に入れる超合理的な方法,"
東大ぱふぇっと(著者)
", 2022年9月27日（火）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2022/07/9784815616076-2-420x596.jpg
父と母がわが子に贈るお金の話　人生でもっとも大切な貯める力、増やす力,"
ディリン・レドリング/アリソン・トム(著者)
", 2022年9月14日（水）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2022/06/9784815616106--408x596.jpg
株チャート最強の教科書,"
山下 勁(著者)
", 2022年6月17日（金）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2022/01/9784815615475-1-418x596.jpg
世界一楽しい！会社四季報の読み方,"
藤川里絵(著者)
", 2022年4月2日（土）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/12/9784815612061-1-419x596.jpg
会社四季報の達人が教える 誰も知らない超優良企業,"
渡部 清二(著者)
", 2022年3月5日（土）,投資・資産運用・SB新書,https://www.sbcr.jp/wp-content/uploads/2021/09/9784815612191-383x596.jpg
米国株チャート最強の教科書,"
鎌田 傳(著者)
", 2022年2月23日（水）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/11/9784815612603-1-419x596.jpg
あなたの人生に最適なお金の増やし方が見つかる　投資図鑑,"
内藤忍(著者)
", 2022年1月22日（土）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/10/9784815613501-1-416x596.jpg
自由に生きるための 地味な投資で2000万円,"
大西真人(著者)
", 2022年1月6日（木）,投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/10/9784815612870-2-406x596.jpg
東大生が学んでいる一生役立つ「株」の教科書,"
伊藤潤一(著者)
", 2021年10月20日（水）,一般書籍・投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/06/9784815610838-2-405x596.jpg
［最新版］まずはアパート一棟、買いなさい！,"
石原博光(著者)
", 2021年9月25日（土）,一般書籍・投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/06/9784815611477-1-406x596.jpg
超・臆病者のための株の教科書,"
草食系投資家LoK(著者)
", 2021年9月23日（木）,一般書籍・投資・資産運用,https://www.sbcr.jp/wp-content/uploads/2021/05/9784815610289-3-420x596.jpg
