書名,発売日,著者名,型番,ページ数,定価,ISBN,ページURL
今すぐ使えるかんたんシリーズ今すぐ使えるかんたんWord＆Excel完全ガイドブック　困った解決＆便利技［Office 2021/2019/2016/Microsoft 365対応版］,2023年10月21日紙版発売,AYURA，技術評論社編集部　著,B5変形判,544ページ,"定価2,178円（本体1,980円＋税10%）",978-4-297-13735-9,https://gihyo.jp/book/2023/978-4-297-13735-9
10倍はかどるSEOの進め方,2023年10月19日紙版発売,青木創平　著,特殊判型判,240ページ,"定価1,760円（本体1,600円＋税10%）",978-4-297-13729-8,https://gihyo.jp/book/2023/978-4-297-13729-8
年金生活者・定年退職者のための確定申告　令和6年3月15日締切分,2023年10月19日紙版発売,山本宏　監修,A4判,152ページ,"定価1,650円（本体1,500円＋税10%）",978-4-297-13727-4,https://gihyo.jp/book/2023/978-4-297-13727-4
エンジニア選書シリーズChatGPT/LangChainによるチャットシステム構築［実践］入門,2023年10月18日紙版発売,吉田真吾，大嶋勇樹　著,B5変形判,280ページ,"定価3,300円（本体3,000円＋税10%）",978-4-297-13839-4,https://gihyo.jp/book/2023/978-4-297-13839-4
Obsidianで“育てる”最強ノート術 あらゆる情報をつなげて整理しよう,2023年10月18日紙版発売,増井敏克　著,A5判,208ページ,"定価2,200円（本体2,000円＋税10%）",978-4-297-13719-9,https://gihyo.jp/book/2023/978-4-297-13719-9
ビジュアルでわかる 信号処理入門,2023年10月18日紙版発売,井澤裕司　著,B5判,448ページ,"定価3,960円（本体3,600円＋税10%）",978-4-297-13769-4,https://gihyo.jp/book/2023/978-4-297-13769-4
作って学べる開発入門シリーズ作って学べる　Unity本格入門［Unity 2023対応版］,2023年10月18日紙版発売,賀好昭仁　著,B5変形判,448ページ,"定価2,992円（本体2,720円＋税10%）",978-4-297-13741-0,https://gihyo.jp/book/2023/978-4-297-13741-0
図解即戦力シリーズ図解即戦力マスコミ業界のしくみとビジネスがこれ1冊でしっかりわかる教科書,2023年10月18日紙版発売,中野明　著,A5判,216ページ,"定価1,980円（本体1,800円＋税10%）",978-4-297-13733-5,https://gihyo.jp/book/2023/978-4-297-13733-5
ゼロからはじめるシリーズゼロからはじめるドコモ AQUOS R8／R8 pro SH-52D／SH-51D スマートガイド,2023年10月14日紙版発売,技術評論社編集部　著,四六判,192ページ,"定価1,738円（本体1,580円＋税10%）",978-4-297-13689-5,https://gihyo.jp/book/2023/978-4-297-13689-5
生物ミステリーシリーズ恐竜たちが見ていた世界―悠久なる時をかけてよみがえる18の物語,2023年10月14日紙版発売,土屋健　著，河部壮一郎，田中源吾　協力，ツク之助　絵,A5判,192ページ,"定価2,860円（本体2,600円＋税10%）",978-4-297-13831-8,https://gihyo.jp/book/2023/978-4-297-13831-8
［改訂第5版］基礎からわかる情報リテラシー,2023年10月14日紙版発売,森本尚之，奥村晴彦　著,B5変形判,192ページ,"定価1,650円（本体1,500円＋税10%）",978-4-297-13765-6,https://gihyo.jp/book/2023/978-4-297-13765-6
Microsoft Power BI［実践］入門～BI初心者でもすぐできる！ リアルタイム分析・可視化の手引き&リファレンス,2023年10月12日紙版発売2023年10月12日電子版発売,青井航平，萩原広揮，荒井隆徳　著，春原朋幸，西村栄次　監修,A5判,348ページ,"定価2,860円（本体2,600円＋税10%）",978-4-297-13793-9,https://gihyo.jp/book/2023/978-4-297-13793-9
2024年 年賀状シリーズおしゃれにはなやぐ和モダン年賀状 2024年版,2023年10月12日紙版発売,技術評論社編集部　編・著,A4変形判,136ページ,定価880円（本体800円＋税10%）,978-4-297-13710-6,https://gihyo.jp/book/2023/978-4-297-13710-6
2024年 年賀状シリーズかんたん年賀状素材集　2024年版,2023年10月12日紙版発売,技術評論社編集部　編・著,A4変形判,272ページ,"定価1,078円（本体980円＋税10%）",978-4-297-13707-6,https://gihyo.jp/book/2023/978-4-297-13707-6
2024年 年賀状シリーズあっという間に完成！筆ぐるめ年賀状 2024年版,2023年10月10日紙版発売,技術評論社編集部　編・著,A4変形判,88ページ,定価495円（本体450円＋税10%）,978-4-297-13706-9,https://gihyo.jp/book/2023/978-4-297-13706-9
素数って偏ってるの？～ABC予想，コラッツ予想，深リーマン予想～,2023年10月10日紙版発売2023年10月10日電子版発売,小山信也　著，長原佑愛　挿絵，矢吹ゆい　構成協力,A5判,264ページ,"定価2,750円（本体2,500円＋税10%）",978-4-297-13761-8,https://gihyo.jp/book/2023/978-4-297-13761-8
2024年 年賀状シリーズあっという間に完成！筆まめ年賀状 2024年版,2023年10月7日紙版発売,技術評論社編集部　編・著,A4変形判,88ページ,定価495円（本体450円＋税10%）,978-4-297-13709-0,https://gihyo.jp/book/2023/978-4-297-13709-0
図解即戦力シリーズ図解即戦力システム設計のセオリーと実践法がこれ1冊でしっかりわかる教科書,2023年10月7日紙版発売2023年10月7日電子版発売,石黒直樹　著,A5判,232ページ,"定価2,530円（本体2,300円＋税10%）",978-4-297-13791-5,https://gihyo.jp/book/2023/978-4-297-13791-5
2024年 年賀状シリーズ筆まめでスピード年賀状　2024,2023年10月6日紙版発売,技術評論社編集部　編・著,A4変形判,96ページ,定価438円（本体398円＋税10%）,978-4-297-13708-3,https://gihyo.jp/book/2023/978-4-297-13708-3
情報処理技術者試験シリーズ令和06年 ITパスポートの新よくわかる教科書,2023年10月5日紙版発売2023年10月5日電子版発売,原山麻美子　著,B5判,240ページ,"定価1,408円（本体1,280円＋税10%）",978-4-297-13749-6,https://gihyo.jp/book/2023/978-4-297-13749-6
2024年 年賀状シリーズあっという間にかんたん年賀状 2024年版,2023年10月4日紙版発売,技術評論社編集部　編・著,A4変形判,96ページ,定価429円（本体390円＋税10%）,978-4-297-13705-2,https://gihyo.jp/book/2023/978-4-297-13705-2
今すぐ使えるかんたんminiシリーズ今すぐ使えるかんたんminiOutlookの基本と便利がこれ1冊でわかる本［Office 2021/Microsoft 365両対応］,2023年10月4日紙版発売2023年10月4日電子版発売,リブロワークス　著,四六判,192ページ,"定価1,100円（本体1,000円＋税10%）",978-4-297-13731-1,https://gihyo.jp/book/2023/978-4-297-13731-1
